"000:00:00.000","Info","2019-10-08 00:59:08","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6925 a6998 a7662 a7723"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.670","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.672","","","","","","ZONE_DISTANCES",563,10215,12115,10411,18999,27455,17295,26043
"000:35:30.674","","","","","","ZONE_TIMERS",1.613,298.390,167.686,132.318,117.488,182.516,87.417,212.587
"000:35:30.675","","","","","","ZONE_COUNTERS",4,5,48,47,44,44,60,61
"000:35:30.677","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.678","","","","","","TOTAL_ARENA_DISTANCES",10778,22526,46454,43338
"000:40:30.708","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.709","","","","","","ZONE_DISTANCES",21309,391,16387,8391,10352,10598,9701,22520
"000:40:30.710","","","","","","ZONE_TIMERS",298.990,1.048,206.169,93.869,149.609,150.429,36.680,263.358
"000:40:30.710","","","","","","ZONE_COUNTERS",1,1,44,43,17,18,31,31
"000:40:30.711","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.711","","","","","","TOTAL_ARENA_DISTANCES",21700,24778,20950,32221
"000:45:30.721","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.723","","","","","","ZONE_DISTANCES",466,8682,6818,6124,9524,8497,11106,17431
"000:45:30.725","","","","","","ZONE_TIMERS",6.148,293.863,198.429,101.582,82.069,217.942,173.143,126.868
"000:45:30.726","","","","","","ZONE_COUNTERS",1,1,27,26,16,17,41,40
"000:45:30.728","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.729","","","","","","TOTAL_ARENA_DISTANCES",9148,12941,18021,28537
"000:50:30.759","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.759","","","","","","ZONE_DISTANCES",15416,211,6098,5179,8820,10231,10244,21400
"000:50:30.760","","","","","","ZONE_TIMERS",290.326,9.712,163.411,136.626,93.469,206.569,73.114,226.923
"000:50:30.760","","","","","","ZONE_COUNTERS",1,1,13,13,19,19,48,47
"000:50:30.761","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.761","","","","","","TOTAL_ARENA_DISTANCES",15628,11278,19051,31645
"000:55:30.768","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.769","","","","","","ZONE_DISTANCES",424,6618,3872,3774,5912,6456,13573,16189
"000:55:30.769","","","","","","ZONE_TIMERS",10.012,289.997,174.807,125.201,128.715,171.294,155.493,144.516
"000:55:30.770","","","","","","ZONE_COUNTERS",1,1,28,28,13,12,56,56
"000:55:30.770","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.770","","","","","","TOTAL_ARENA_DISTANCES",7042,7646,12368,29762
"001:00:30.807","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.808","","","","","","ZONE_DISTANCES",18919,1130,8905,1417,8519,5843,14025,19381
"001:00:30.808","","","","","","ZONE_TIMERS",289.268,10.769,279.810,20.226,242.872,57.165,108.907,191.129
"001:00:30.809","","","","","","ZONE_COUNTERS",7,7,12,11,16,15,55,56
"001:00:30.809","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.809","","","","","","TOTAL_ARENA_DISTANCES",20049,10321,14361,33405
"001:00:30.895","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.896","","","","","","ZONE_DISTANCES",57097,27247,54195,35296,62126,69080,75944,122964
"001:00:30.897","","","","","","ZONE_TIMERS",896.367,903.781,1190.322,609.826,814.231,985.917,634.757,1165.391
"001:00:30.897","","","","","","ZONE_COUNTERS",13,13,168,167,123,122,288,289
"001:00:30.898","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.898","","","","","","TOTAL_ARENA_DISTANCES",84344,89491,131206,198908
"001:03:02.485","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.485","","","","","","ZONE_DISTANCES",0,3318,838,1324,1457,52,0,6786
"001:03:02.486","","","","","","ZONE_TIMERS",0.000,60.060,24.743,35.316,59.992,0.068,0.000,60.060
"001:03:02.486","","","","","","ZONE_COUNTERS",0,1,10,10,2,1,0,1
"001:03:02.487","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.487","","","","","","TOTAL_ARENA_DISTANCES",3318,2163,1509,6787
"001:04:02.555","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.555","","","","","","ZONE_DISTANCES",2665,286,1376,246,1609,533,4864,1237
"001:04:02.556","","","","","","ZONE_TIMERS",51.980,8.089,57.551,2.518,5.909,54.160,54.796,5.273
"001:04:02.556","","","","","","ZONE_COUNTERS",2,2,1,1,3,3,2,2
"001:04:02.557","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.557","","","","","","TOTAL_ARENA_DISTANCES",2951,1621,2142,6101
"001:05:02.604","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:02.604","","","","","","ZONE_DISTANCES",822,620,1621,1289,0,0,816,5047
"001:05:02.605","","","","","","ZONE_TIMERS",14.627,45.421,37.346,22.702,0.000,60.049,7.109,52.939
"001:05:02.605","","","","","","ZONE_COUNTERS",2,2,7,7,0,1,2,2
"001:05:02.606","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.606","","","","","","TOTAL_ARENA_DISTANCES",1442,2911,0,5863
"001:06:02.648","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:02.648","","","","","","ZONE_DISTANCES",2931,44,2413,342,1566,122,4669,1045
"001:06:02.649","","","","","","ZONE_TIMERS",56.889,3.155,56.440,3.604,15.843,44.201,53.526,6.517
"001:06:02.650","","","","","","ZONE_COUNTERS",1,1,3,3,2,2,3,3
"001:06:02.650","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.650","","","","","","TOTAL_ARENA_DISTANCES",2975,2754,1687,5714
"001:07:02.721","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:02.721","","","","","","ZONE_DISTANCES",491,1064,1109,1154,961,2133,719,4622
"001:07:02.722","","","","","","ZONE_TIMERS",4.137,55.935,32.930,27.142,18.226,41.846,7.581,52.491
"001:07:02.722","","","","","","ZONE_COUNTERS",2,2,7,7,4,4,3,3
"001:07:02.723","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.723","","","","","","TOTAL_ARENA_DISTANCES",1555,2264,3094,5341
"001:07:02.819","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:02.820","","","","","","ZONE_DISTANCES",6909,5332,7357,4355,5593,2840,11068,18737
"001:07:02.821","","","","","","ZONE_TIMERS",127.634,172.661,209.012,91.284,99.971,200.325,123.013,177.283
"001:07:02.821","","","","","","ZONE_COUNTERS",5,6,26,26,9,9,8,9
"001:07:02.822","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.822","","","","","","TOTAL_ARENA_DISTANCES",12241,11713,8433,29805
"001:07:02.823","Info","2019-10-08 02:06:11","Service 'BLUGRE' : Execution end"
