"000:00:00.000","Info","2019-10-11 03:36:40","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7061 a7409 a7562 a8062"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.558","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.558","","","","","","ZONE_DISTANCES",3809,5759,6254,3721,18681,22663,18790,25184
"000:35:30.559","","","","","","ZONE_TIMERS",18.707,281.348,276.963,23.092,140.348,159.707,129.145,170.910
"000:35:30.560","","","","","","ZONE_COUNTERS",10,11,13,13,53,54,51,51
"000:35:30.560","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.560","","","","","","TOTAL_ARENA_DISTANCES",9568,9976,41344,43975
"000:40:30.633","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.634","","","","","","ZONE_DISTANCES",5620,7140,9049,18767,25921,17873,15199,25625
"000:40:30.634","","","","","","ZONE_TIMERS",159.977,140.098,66.894,233.180,176.872,123.202,97.190,202.884
"000:40:30.635","","","","","","ZONE_COUNTERS",13,13,33,33,66,66,39,38
"000:40:30.635","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.636","","","","","","TOTAL_ARENA_DISTANCES",12760,27816,43794,40824
"000:45:30.714","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.715","","","","","","ZONE_DISTANCES",5478,7354,11884,7460,14045,23227,16099,30010
"000:45:30.716","","","","","","ZONE_TIMERS",175.111,124.970,234.137,65.944,113.583,186.497,106.602,193.479
"000:45:30.716","","","","","","ZONE_COUNTERS",14,13,18,18,59,59,59,59
"000:45:30.717","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.717","","","","","","TOTAL_ARENA_DISTANCES",12833,19344,37273,46108
"000:50:30.802","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.802","","","","","","ZONE_DISTANCES",5153,7091,2341,8397,22611,12902,27319,27891
"000:50:30.803","","","","","","ZONE_TIMERS",49.403,250.683,32.518,267.568,205.572,94.514,133.349,166.737
"000:50:30.804","","","","","","ZONE_COUNTERS",15,15,9,9,49,49,77,78
"000:50:30.804","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.805","","","","","","TOTAL_ARENA_DISTANCES",12244,10738,35512,55211
"000:55:30.870","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.871","","","","","","ZONE_DISTANCES",6212,5226,6814,4109,12591,25972,5717,23691
"000:55:30.871","","","","","","ZONE_TIMERS",181.227,118.840,267.977,32.090,96.827,203.240,33.076,266.991
"000:55:30.872","","","","","","ZONE_COUNTERS",13,14,12,12,62,62,33,34
"000:55:30.872","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.873","","","","","","TOTAL_ARENA_DISTANCES",11438,10923,38563,29408
"001:00:30.953","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.954","","","","","","ZONE_DISTANCES",5840,6452,4760,13371,26754,5826,6747,13997
"001:00:30.955","","","","","","ZONE_TIMERS",169.663,130.420,34.204,265.879,252.052,48.030,25.947,274.135
"001:00:30.955","","","","","","ZONE_COUNTERS",13,14,15,15,37,37,18,19
"001:00:30.956","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.956","","","","","","TOTAL_ARENA_DISTANCES",12292,18131,32580,20744
"001:00:31.025","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.026","","","","","","ZONE_DISTANCES",32112,39022,41102,55825,120603,108463,89871,146398
"001:00:31.026","","","","","","ZONE_TIMERS",754.091,1046.367,912.696,887.763,985.265,815.193,525.312,1275.146
"001:00:31.027","","","","","","ZONE_COUNTERS",76,77,97,98,324,324,275,276
"001:00:31.028","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.028","","","","","","TOTAL_ARENA_DISTANCES",71134,96927,229066,236269
"001:03:03.110","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.111","","","","","","ZONE_DISTANCES",0,0,6,0,162,5759,0,12
"001:03:03.112","","","","","","ZONE_TIMERS",0.000,60.103,60.103,0.000,1.181,58.921,0.000,60.103
"001:03:03.113","","","","","","ZONE_COUNTERS",0,1,1,0,2,2,0,1
"001:03:03.114","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.114","","","","","","TOTAL_ARENA_DISTANCES",0,6,5922,12
"001:04:03.202","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.203","","","","","","ZONE_DISTANCES",0,0,281,1895,5983,510,3695,3428
"001:04:03.203","","","","","","ZONE_TIMERS",0.000,60.091,2.226,57.865,56.488,3.603,40.959,19.131
"001:04:03.204","","","","","","ZONE_COUNTERS",0,1,2,2,1,1,9,9
"001:04:03.205","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.206","","","","","","TOTAL_ARENA_DISTANCES",0,2175,6493,7122
"001:05:03.278","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.278","","","","","","ZONE_DISTANCES",0,139,970,662,324,5331,737,2316
"001:05:03.279","","","","","","ZONE_TIMERS",0.000,60.075,17.122,42.953,2.368,57.707,10.880,49.195
"001:05:03.280","","","","","","ZONE_COUNTERS",0,1,1,1,1,1,3,3
"001:05:03.281","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.281","","","","","","TOTAL_ARENA_DISTANCES",139,1633,5655,3053
"001:06:03.363","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.364","","","","","","ZONE_DISTANCES",0,0,1888,1869,5925,348,4365,3038
"001:06:03.365","","","","","","ZONE_TIMERS",0.000,60.085,26.824,33.261,57.006,3.078,40.256,19.828
"001:06:03.366","","","","","","ZONE_COUNTERS",0,1,4,3,2,2,7,8
"001:06:03.366","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.367","","","","","","TOTAL_ARENA_DISTANCES",0,3757,6273,7403
"001:07:03.481","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.482","","","","","","ZONE_DISTANCES",671,498,869,350,265,5367,279,1303
"001:07:03.483","","","","","","ZONE_TIMERS",9.837,50.279,56.706,3.410,1.926,58.191,1.339,58.777
"001:07:03.484","","","","","","ZONE_COUNTERS",2,2,2,1,1,1,1,2
"001:07:03.484","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.485","","","","","","TOTAL_ARENA_DISTANCES",1169,1219,5632,1582
"001:07:03.572","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.572","","","","","","ZONE_DISTANCES",671,637,4014,4776,12659,17315,9076,10097
"001:07:03.573","","","","","","ZONE_TIMERS",9.837,290.635,162.983,137.490,118.971,181.502,93.436,207.037
"001:07:03.574","","","","","","ZONE_COUNTERS",2,2,7,6,5,5,19,20
"001:07:03.575","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.576","","","","","","TOTAL_ARENA_DISTANCES",1308,8790,29974,19173
"001:07:03.577","Info","2019-10-11 04:43:44","Service 'BLUGRE' : Execution end"
