"000:00:00.000","Info","2019-10-15 03:07:15","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7163 a7284 a6847 a7056"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.586","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.588","","","","","","ZONE_DISTANCES",9844,11238,10016,28903,8686,15374,4797,6750
"000:35:30.589","","","","","","ZONE_TIMERS",165.683,134.395,72.045,228.033,105.101,194.976,136.186,163.891
"000:35:30.590","","","","","","ZONE_COUNTERS",29,30,39,40,23,24,19,18
"000:35:30.591","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.592","","","","","","TOTAL_ARENA_DISTANCES",21082,38919,24060,11547
"000:40:30.656","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.657","","","","","","ZONE_DISTANCES",6214,11593,21583,17333,9462,11221,8270,5410
"000:40:30.657","","","","","","ZONE_TIMERS",57.306,242.763,162.640,137.430,113.850,186.220,162.262,137.807
"000:40:30.658","","","","","","ZONE_COUNTERS",19,20,59,59,25,26,21,20
"000:40:30.659","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.659","","","","","","TOTAL_ARENA_DISTANCES",17807,38915,20683,13680
"000:45:30.711","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.712","","","","","","ZONE_DISTANCES",562,2152,14414,18555,8827,5676,6448,7758
"000:45:30.712","","","","","","ZONE_TIMERS",4.350,295.704,142.654,157.399,224.546,75.508,172.818,127.235
"000:45:30.713","","","","","","ZONE_COUNTERS",2,3,45,44,21,21,20,19
"000:45:30.714","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.714","","","","","","TOTAL_ARENA_DISTANCES",2714,32969,14502,14206
"000:50:30.789","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.790","","","","","","ZONE_DISTANCES",2712,3606,22859,9433,6966,10207,6485,6697
"000:50:30.790","","","","","","ZONE_TIMERS",15.386,284.691,216.825,83.252,73.737,226.340,76.504,223.573
"000:50:30.791","","","","","","ZONE_COUNTERS",8,9,53,52,24,24,18,17
"000:50:30.791","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.792","","","","","","TOTAL_ARENA_DISTANCES",6318,32293,17174,13182
"000:55:30.842","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.843","","","","","","ZONE_DISTANCES",1742,3433,2770,25421,6816,4104,3667,3830
"000:55:30.844","","","","","","ZONE_TIMERS",17.358,282.695,21.561,278.491,246.186,53.867,188.398,111.654
"000:55:30.844","","","","","","ZONE_COUNTERS",7,8,18,18,15,15,7,6
"000:55:30.845","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.845","","","","","","TOTAL_ARENA_DISTANCES",5176,28191,10920,7497
"001:00:30.906","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.907","","","","","","ZONE_DISTANCES",4695,2487,19310,1551,3694,6748,4858,5367
"001:00:30.907","","","","","","ZONE_TIMERS",168.101,131.961,287.860,12.203,38.829,261.234,98.884,201.179
"001:00:30.908","","","","","","ZONE_COUNTERS",10,11,16,16,14,14,14,13
"001:00:30.909","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.909","","","","","","TOTAL_ARENA_DISTANCES",7182,20861,10442,10225
"001:00:30.977","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.978","","","","","","ZONE_DISTANCES",25769,34509,90952,101196,44451,53330,34525,35812
"001:00:30.979","","","","","","ZONE_TIMERS",428.187,1372.218,903.595,896.810,802.251,998.154,835.063,965.342
"001:00:30.979","","","","","","ZONE_COUNTERS",75,76,227,227,120,121,94,93
"001:00:30.980","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.980","","","","","","TOTAL_ARENA_DISTANCES",60278,192148,97781,70337
"001:03:03.193","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.194","","","","","","ZONE_DISTANCES",103,3366,209,4400,3337,3236,0,2563
"001:03:03.195","","","","","","ZONE_TIMERS",0.802,59.295,1.417,58.680,30.534,29.563,0.000,60.098
"001:03:03.196","","","","","","ZONE_COUNTERS",2,3,2,2,9,9,0,1
"001:03:03.197","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.197","","","","","","TOTAL_ARENA_DISTANCES",3468,4609,6573,2563
"001:04:03.302","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.302","","","","","","ZONE_DISTANCES",767,2089,2606,360,1681,2498,2955,392
"001:04:03.303","","","","","","ZONE_TIMERS",7.520,52.587,55.637,4.470,16.691,43.416,53.777,6.331
"001:04:03.304","","","","","","ZONE_COUNTERS",4,5,1,1,6,6,4,4
"001:04:03.305","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.306","","","","","","TOTAL_ARENA_DISTANCES",2857,2966,4178,3347
"001:05:03.365","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.365","","","","","","ZONE_DISTANCES",338,2729,319,4475,2211,2520,248,4394
"001:05:03.366","","","","","","ZONE_TIMERS",2.656,57.406,3.413,56.649,32.362,27.701,3.596,56.466
"001:05:03.367","","","","","","ZONE_COUNTERS",2,3,1,1,8,8,1,1
"001:05:03.367","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.368","","","","","","TOTAL_ARENA_DISTANCES",3067,4794,4731,4642
"001:06:03.466","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.467","","","","","","ZONE_DISTANCES",879,1715,3253,312,1202,2151,3163,663
"001:06:03.467","","","","","","ZONE_TIMERS",10.044,50.057,57.236,2.864,13.707,46.394,52.684,7.417
"001:06:03.468","","","","","","ZONE_COUNTERS",5,6,1,1,6,6,2,2
"001:06:03.469","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.469","","","","","","TOTAL_ARENA_DISTANCES",2594,3565,3353,3826
"001:07:03.567","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.569","","","","","","ZONE_DISTANCES",215,3144,403,4229,2586,3329,184,3997
"001:07:03.571","","","","","","ZONE_TIMERS",2.952,57.148,4.477,55.623,30.507,29.592,4.711,55.388
"001:07:03.572","","","","","","ZONE_COUNTERS",4,5,1,1,9,9,1,1
"001:07:03.574","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.576","","","","","","TOTAL_ARENA_DISTANCES",3359,4632,5915,4181
"001:07:03.662","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.664","","","","","","ZONE_DISTANCES",2302,13043,6790,13776,11017,13734,6550,12009
"001:07:03.666","","","","","","ZONE_TIMERS",23.976,276.495,122.183,178.288,123.803,176.668,114.769,185.701
"001:07:03.667","","","","","","ZONE_COUNTERS",17,18,4,4,36,36,6,7
"001:07:03.669","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.670","","","","","","TOTAL_ARENA_DISTANCES",15345,20566,24751,18559
"001:07:03.672","Info","2019-10-15 04:14:19","Service 'BLUGRE' : Execution end"
