Mark,Sex,ID,Treatment_Tank,fish_length_cm,Week ,Measure
Yel._,male,a7475,HA_C1,2.793,6,1
Blu.Blu,female,a7659,HA_C1,3.156,6,1
Red.Red,female,a6899,HA_C1,3.431,6,1
Red.Ora,male,a7614,HA_C1,3.161,6,1
Pur.Yel,male,a7272,HA_C1,2.919,6,1
Gre.Bro,female,a6834,HA_C1,2.938,6,1
Bro.Bro,male,a7720,HA_C1,2.804,6,1
Bla.Red,female,a6923,HA_C1,3.553,6,1
Whi.Pur,female,a7376,HA_C1,3.212,6,1
Blu.Yel,female,a7002,HA_C1,2.672,6,1
Ora.Bro,male,a7152,HA_C1,3.12,6,1
Bro.Bla,female,a7082,HA_C1,3.358,6,1
Pin.Ora,female,a7555,HA_C1,3.184,6,1
Whi._,male,a7070,HA_C1,3.245,6,1
Red.Yel,male,a7563,HA_C1,3.16,6,1
Ora.Pin,female,a7498,HA_C1,3.237,6,1
Whi.Blu,male,a7179,HA_C1,3.123,6,1
Red.Pin,male,a6985,HA_C1,2.944,6,1
Red.Whi,female,a7226,HA_C1,3.641,6,1
Gre.Yel,female,a6859,HA_C1,3.168,6,1
Pin.Whi,female,a7281,HA_C1,3.316,6,1
Gre.Gre,female,a7698,HA_C1,3.097,6,1
Ora.Bla,male,a7403,HA_C1,3.292,6,1
Yel.Red,female,a8068,HA_C1,2.988,6,1
Blu.Pur,female,a6813,HA_C3,2.675,0,1
Pin.Gre,female,a6845,HA_C3,2.639,0,1
Blu.Gre,female,a6885,HA_C3,2.416,0,1
Bla.Bla,female,a6929,HA_C3,2.526,0,1
Red.Gre,male,a6990,HA_C3,2.58,0,1
Gre._,male,a7017,HA_C3,2.546,0,1
Red.Yel,male,a7048,HA_C3,2.633,0,1
Red.Pur,female,a7093,HA_C3,2.672,0,1
Bla.Red,male,a7144,HA_C3,2.657,0,1
_.Pur,male,a7168,HA_C3,2.384,0,1
Whi.Pin,female,a7232,HA_C3,2.968,0,1
Whi.Ora,male,a7264,HA_C3,2.474,0,1
_.Pin,female,a7279,HA_C3,2.605,0,1
Red.Whi,female,a7322,HA_C3,2.481,0,1
Bro.Ora,male,a7361,HA_C3,2.585,0,1
Ora.Bro,male,a7407,HA_C3,2.925,0,1
Red.Blu,male,a7466,HA_C3,2.355,0,1
Red.Red,female,a7497,HA_C3,2.619,0,1
Pin.Blu,female,a7552,HA_C3,2.421,0,1
Red.Bro,male,a7564,HA_C3,2.491,0,1
Red._,male,a7611,HA_C3,2.478,0,1
Bla.Blu,female,a7660,HA_C3,2.566,0,1
Gre.Pin,female,a7679,HA_C3,2.508,0,1
Pur._,male,a7730,HA_C3,2.348,0,1
Red.Gre,female,a7562,HA_T4,3.177,6,1
Gre.Gre,male,a6869,HA_T4,3.329,6,1
Gre.Bro,female,a7018,HA_T4,3.495,6,1
Whi.Bla,female,a7260,HA_T4,3.538,6,1
Bro.Yel,male,a7728,HA_T4,3.304,6,1
Yel.Blu,female,a7214,HA_T4,3.346,6,1
Whi.Pur,male,a7180,HA_T4,3.143,6,1
Ora.Gre,female,a7061,HA_T4,3.634,6,1
_.Bla,male,a6799,HA_T4,3.283,6,1
Pin._,male,a7548,HA_T4,3.236,6,1
Bro.Whi,female,a7358,HA_T4,3.054,6,1
Ora.Whi,female,a7409,HA_T4,3.572,6,1
Ora.Blu,female,a6961,HA_T4,3.151,6,1
Gre.Pur,male,a7297,HA_T4,3.222,6,1
Bla.Gre,female,a7608,HA_T4,3.412,6,1
Whi.Ora,female,a7646,HA_T4,3.315,6,1
Red.Pur,male,a8062,HA_T4,3.32,6,1
Red.Yel,male,a7321,HA_T4,2.908,6,1
Ora.Bla,male,a7494,HA_T4,2.948,6,1
Blu.Bla,male,a6891,HA_T4,3.263,6,1
Bla.Pin,female,a7138,HA_T4,3.255,6,1
_.Red,male,a8057,HA_T4,3.324,6,1
Gre.Yel,male,a7682,HA_T4,2.978,6,1
Bro.Ora,female,a7439,HA_T4,2.883,6,1
Ora.Ora,female,a7379,HA_T5,2.531,0,1
Pin.Bro,male,a7191,HA_T5,2.267,0,1
_.Ora,male,a7487,HA_T5,2.654,0,1
Red.Bla,female,a7663,HA_T5,2.737,0,1
Ora.Pur,female,a7405,HA_T5,2.791,0,1
Gre.Bro,male,a7683,HA_T5,2.516,0,1
Whi._,female,a8050,HA_T5,2.806,0,1
Pin.Pur,female,a8044,HA_T5,2.543,0,1
Gre.Ora,female,a7010,HA_T5,2.496,0,1
_.Gre,male,a6864,HA_T5,2.455,0,1
Red.Blu,male,a7092,HA_T5,2.592,0,1
Pur.Gre,male,a8074,HA_T5,2.453,0,1
Red.Ora,female,a7567,HA_T5,2.91,0,1
Pin.Bla,male,a7551,HA_T5,2.229,0,1
Red.Pur,male,a7325,HA_T5,2.552,0,1
_.Blu,female,a7459,HA_T5,2.381,0,1
_.Red,female,a7219,HA_T5,2.689,0,1
Bro._,female,a7050,HA_T5,2.77,0,1
Gre.Whi,male,a6833,HA_T5,2.511,0,1
Pin.Yel,male,a7282,HA_T5,2.354,0,1
Blu.Pin,male,a6882,HA_T5,2.641,0,1
Bla.Bro,female,a7605,HA_T5,2.85,0,1
Pur.Bro,female,a6937,HA_T5,2.272,0,1
Bla.Pin,female,a7253,HA_T5,2.6,0,1
Yel._,male,a7475,HA_C1,2.854,6,2
Blu.Blu,female,a7659,HA_C1,3.233,6,2
Red.Red,female,a6899,HA_C1,3.433,6,2
Red.Ora,male,a7614,HA_C1,3.201,6,2
Pur.Yel,male,a7272,HA_C1,3.001,6,2
Gre.Bro,female,a6834,HA_C1,3.043,6,2
Bro.Bro,male,a7720,HA_C1,2.799,6,2
Bla.Red,female,a6923,HA_C1,3.649,6,2
Whi.Pur,female,a7376,HA_C1,3.289,6,2
Blu.Yel,female,a7002,HA_C1,2.704,6,2
Ora.Bro,male,a7152,HA_C1,3.225,6,2
Bro.Bla,female,a7082,HA_C1,3.352,6,2
Pin.Ora,female,a7555,HA_C1,3.264,6,2
Whi._,male,a7070,HA_C1,3.284,6,2
Red.Yel,male,a7563,HA_C1,3.266,6,2
Ora.Pin,female,a7498,HA_C1,3.301,6,2
Whi.Blu,male,a7179,HA_C1,3.094,6,2
Red.Pin,male,a6985,HA_C1,2.937,6,2
Red.Whi,female,a7226,HA_C1,3.618,6,2
Gre.Yel,female,a6859,HA_C1,3.119,6,2
Pin.Whi,female,a7281,HA_C1,3.374,6,2
Gre.Gre,female,a7698,HA_C1,3.131,6,2
Ora.Bla,male,a7403,HA_C1,3.318,6,2
Yel.Red,female,a8068,HA_C1,2.943,6,2
Blu.Pur,female,a6813,HA_C3,2.813,0,2
Pin.Gre,female,a6845,HA_C3,2.725,0,2
Blu.Gre,female,a6885,HA_C3,2.392,0,2
Bla.Bla,female,a6929,HA_C3,2.583,0,2
Red.Gre,male,a6990,HA_C3,2.621,0,2
Gre._,male,a7017,HA_C3,2.658,0,2
Red.Yel,male,a7048,HA_C3,2.6,0,2
Red.Pur,female,a7093,HA_C3,2.66,0,2
Bla.Red,male,a7144,HA_C3,2.606,0,2
_.Pur,male,a7168,HA_C3,2.589,0,2
Whi.Pin,female,a7232,HA_C3,3.069,0,2
Whi.Ora,male,a7264,HA_C3,2.572,0,2
_.Pin,female,a7279,HA_C3,2.615,0,2
Red.Whi,female,a7322,HA_C3,2.577,0,2
Bro.Ora,male,a7361,HA_C3,2.731,0,2
Ora.Bro,male,a7407,HA_C3,2.935,0,2
Red.Blu,male,a7466,HA_C3,2.313,0,2
Red.Red,female,a7497,HA_C3,2.73,0,2
Pin.Blu,female,a7552,HA_C3,2.638,0,2
Red.Bro,male,a7564,HA_C3,2.537,0,2
Red._,male,a7611,HA_C3,2.565,0,2
Bla.Blu,female,a7660,HA_C3,2.672,0,2
Gre.Pin,female,a7679,HA_C3,2.603,0,2
Pur._,male,a7730,HA_C3,2.474,0,2
Red.Gre,female,a7562,HA_T4,3.304,6,2
Gre.Gre,male,a6869,HA_T4,3.426,6,2
Gre.Bro,female,a7018,HA_T4,3.421,6,2
Whi.Bla,female,a7260,HA_T4,3.631,6,2
Bro.Yel,male,a7728,HA_T4,3.223,6,2
Yel.Blu,female,a7214,HA_T4,3.411,6,2
Whi.Pur,male,a7180,HA_T4,3.106,6,2
Ora.Gre,female,a7061,HA_T4,3.754,6,2
_.Bla,male,a6799,HA_T4,3.27,6,2
Pin._,male,a7548,HA_T4,3.283,6,2
Bro.Whi,female,a7358,HA_T4,3.006,6,2
Ora.Whi,female,a7409,HA_T4,3.61,6,2
Ora.Blu,female,a6961,HA_T4,3.194,6,2
Gre.Pur,male,a7297,HA_T4,3.286,6,2
Bla.Gre,female,a7608,HA_T4,3.467,6,2
Whi.Ora,female,a7646,HA_T4,3.21,6,2
Red.Pur,male,a8062,HA_T4,3.372,6,2
Red.Yel,male,a7321,HA_T4,2.992,6,2
Ora.Bla,male,a7494,HA_T4,3.084,6,2
Blu.Bla,male,a6891,HA_T4,3.265,6,2
Bla.Pin,female,a7138,HA_T4,3.28,6,2
_.Red,male,a8057,HA_T4,3.335,6,2
Gre.Yel,male,a7682,HA_T4,3,6,2
Bro.Ora,female,a7439,HA_T4,2.973,6,2
Ora.Ora,female,a7379,HA_T5,2.674,0,2
Pin.Bro,male,a7191,HA_T5,2.513,0,2
_.Ora,male,a7487,HA_T5,2.788,0,2
Red.Bla,female,a7663,HA_T5,2.811,0,2
Ora.Pur,female,a7405,HA_T5,2.859,0,2
Gre.Bro,male,a7683,HA_T5,2.655,0,2
Whi._,female,a8050,HA_T5,2.94,0,2
Pin.Pur,female,a8044,HA_T5,2.565,0,2
Gre.Ora,female,a7010,HA_T5,2.511,0,2
_.Gre,male,a6864,HA_T5,2.471,0,2
Red.Blu,male,a7092,HA_T5,2.501,0,2
Pur.Gre,male,a8074,HA_T5,2.5,0,2
Red.Ora,female,a7567,HA_T5,2.815,0,2
Pin.Bla,male,a7551,HA_T5,2.207,0,2
Red.Pur,male,a7325,HA_T5,2.687,0,2
_.Blu,female,a7459,HA_T5,2.414,0,2
_.Red,female,a7219,HA_T5,2.708,0,2
Bro._,female,a7050,HA_T5,2.703,0,2
Gre.Whi,male,a6833,HA_T5,2.551,0,2
Pin.Yel,male,a7282,HA_T5,2.378,0,2
Blu.Pin,male,a6882,HA_T5,2.811,0,2
Bla.Bro,female,a7605,HA_T5,2.757,0,2
Pur.Bro,female,a6937,HA_T5,2.27,0,2
Bla.Pin,female,a7253,HA_T5,2.611,0,2
